what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1444409913082
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1444409913082
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1444409913082
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1444409913082
os,sysinfo,,,"win32",1444409913082
arch,sysinfo,,,"x86",1444409913082
ws,sysinfo,,,"win32",1444409913082
locale,sysinfo,,,"en_US",1444409913082
processors,sysinfo,,,"4",1444409913082
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1444409913082
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1444409913082
java.specification.name,sysinfo,,,"Java Platform API Specification",1444409913082
java.specification.vendor,sysinfo,,,"Oracle Corporation",1444409913082
java.specification.version,sysinfo,,,"1.8",1444409913082
java.vendor,sysinfo,,,"Oracle Corporation",1444409913082
java.version,sysinfo,,,"1.8.0_45",1444409913082
java.vm.info,sysinfo,,,"mixed mode",1444409913082
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1444409913082
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444409913082
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444409913082
java.vm.specification.version,sysinfo,,,"1.8",1444409913082
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444409913082
java.vm.version,sysinfo,,,"25.45-b02",1444409913082
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1444409913097
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1444409913910
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1444409929756
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1444409929819
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1444409929866
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1444409929912
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1444409929991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444409933351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444409964620
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1444409964792
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1444409966871
