what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1445273643197
processors,sysinfo,,,"4",1445273643197
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1445273643197
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1445273643197
java.specification.name,sysinfo,,,"Java Platform API Specification",1445273643197
java.specification.vendor,sysinfo,,,"Oracle Corporation",1445273643197
java.specification.version,sysinfo,,,"1.8",1445273643197
java.vendor,sysinfo,,,"Oracle Corporation",1445273643197
java.version,sysinfo,,,"1.8.0_45",1445273643197
java.vm.info,sysinfo,,,"mixed mode",1445273643197
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1445273643197
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445273643197
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1445273643197
java.vm.specification.version,sysinfo,,,"1.8",1445273643197
java.vm.vendor,sysinfo,,,"Oracle Corporation",1445273643197
java.vm.version,sysinfo,,,"25.45-b02",1445273643197
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1445273643212
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1445273643884
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1445273643900
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1445273643916
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1445273644166
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1445273644166
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1445273644228
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1445273644275
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1445273644291
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1445273644447
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1445273644525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445273645603
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1445273646525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445273650651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445273689204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445273689329
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1445273702549
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1445273702565
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1445273727522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445273727553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445273731163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445273731632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445273732085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445273732491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273794594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273794812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273795313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273795438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273795641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273795828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445273796000
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1445273815690
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1445273815894
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1445273816769
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1445273816956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445273817128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445273817972
