what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1445533253162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533253178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533253584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533255053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533256415
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445533256431
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445533259461
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1445533261711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533261742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533262117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533263821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533275919
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445533275935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445533291079
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1445533318302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533318334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533318677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533320162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533331556
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445533331556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445533332737
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1445533411200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533411216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533411622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533413091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533424501
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445533424517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445533433915
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1445533466701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533466717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533467076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533468592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533479956
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445533479971
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1445533486457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445533632854
