what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1442854041756
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1442854041756
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1442854041756
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1442854041756
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1442854041756
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1442854041756
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1442854041756
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1442854041756
os,sysinfo,,,"win32",1442854041756
arch,sysinfo,,,"x86",1442854041756
ws,sysinfo,,,"win32",1442854041756
locale,sysinfo,,,"en_US",1442854041756
processors,sysinfo,,,"4",1442854041756
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1442854041756
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1442854041756
java.specification.name,sysinfo,,,"Java Platform API Specification",1442854041756
java.specification.vendor,sysinfo,,,"Oracle Corporation",1442854041756
java.specification.version,sysinfo,,,"1.8",1442854041756
java.vendor,sysinfo,,,"Oracle Corporation",1442854041756
java.version,sysinfo,,,"1.8.0_45",1442854041756
java.vm.info,sysinfo,,,"mixed mode",1442854041756
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1442854041756
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1442854041756
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1442854041756
java.vm.specification.version,sysinfo,,,"1.8",1442854041756
java.vm.vendor,sysinfo,,,"Oracle Corporation",1442854041756
java.vm.version,sysinfo,,,"25.45-b02",1442854041756
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1442854041756
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1442854042835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854043428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854047960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854054149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854628012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854630060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854632701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442854647437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442855140073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442855158482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442855503501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442855602607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442855902153
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1442855917343
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1442855917359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442855965974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856014627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1442856016237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856039599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856047475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856051148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856414706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856414737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856414768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856415425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856416425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856416534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856417331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856417644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856418488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856418519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856420332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856420363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856421769
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1442856421832
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1442856421848
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1442856422051
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1442856422363
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1442856422488
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1442856422488
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1442856422488
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1442856422488
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1442856422504
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1442856422504
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1442856422504
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1442856422504
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1442856422504
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1442856422504
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1442940448419
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1442940448419
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1442940448419
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1442940448434
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1442940448450
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1442940448450
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1442940448481
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1442940448481
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1442940448481
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1442940448606
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1442940448606
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1442940448622
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1442940448700
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1442940448700
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1442940448700
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1442940448700
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1442940448700
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1442940448716
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1442940448716
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1442940448731
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1442940448747
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1442940448747
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1442940448747
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1442940448747
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1442940448747
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1442940448747
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1442940448747
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1442940448747
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1442940448747
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1442940448747
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1442940448747
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1442940448747
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1442940448747
